Time [min],Power [kW],Cumulative Energy [kWh],Normalized Load
1093,0.0,134.41666666666526,0.0
1094,0.0,134.41666666666526,0.0
1095,0.0,134.41666666666526,0.0
1096,0.0,134.41666666666526,0.0
1097,0.0,134.41666666666526,0.0
1098,0.0,134.41666666666526,0.0
1099,0.0,134.41666666666526,0.0
1100,0.0,134.41666666666526,0.0
1101,0.0,134.41666666666526,0.0
1102,0.0,134.41666666666526,0.0
1103,0.0,134.41666666666526,0.0
1104,0.0,134.41666666666526,0.0
1105,0.0,134.41666666666526,0.0
1106,0.0,134.41666666666526,0.0
1107,0.0,134.41666666666526,0.0
1108,0.0,134.41666666666526,0.0
1109,0.0,134.41666666666526,0.0
1110,0.0,134.41666666666526,0.0
1111,0.0,134.41666666666526,0.0
1112,0.0,134.41666666666526,0.0
1113,0.0,134.41666666666526,0.0
1114,0.0,134.41666666666526,0.0
1115,0.0,134.41666666666526,0.0
1116,0.0,134.41666666666526,0.0
1117,0.0,134.41666666666526,0.0
1118,0.0,134.41666666666526,0.0
1119,0.0,134.41666666666526,0.0
1120,0.0,134.41666666666526,0.0
1121,0.0,134.41666666666526,0.0
1122,0.0,134.41666666666526,0.0
1123,0.0,134.41666666666526,0.0
1124,0.0,134.41666666666526,0.0
1125,0.0,134.41666666666526,0.0
1126,0.0,134.41666666666526,0.0
1127,0.0,134.41666666666526,0.0
1128,0.0,134.41666666666526,0.0
1129,0.0,134.41666666666526,0.0
1130,0.0,134.41666666666526,0.0
1131,0.0,134.41666666666526,0.0
1132,0.0,134.41666666666526,0.0
1133,0.0,134.41666666666526,0.0
1134,0.0,134.41666666666526,0.0
1135,0.0,134.41666666666526,0.0
1136,0.0,134.41666666666526,0.0
1137,0.0,134.41666666666526,0.0
1138,0.0,134.41666666666526,0.0
1139,0.0,134.41666666666526,0.0
1140,30.0,133.91666666666526,0.18181818181818182
1141,30.0,133.41666666666526,0.18181818181818182
1142,30.0,132.91666666666526,0.18181818181818182
1143,30.0,132.41666666666526,0.18181818181818182
1144,30.0,131.91666666666526,0.18181818181818182
1145,30.0,131.41666666666526,0.18181818181818182
1146,30.0,130.91666666666526,0.18181818181818182
1147,30.0,130.41666666666526,0.18181818181818182
1148,30.0,129.91666666666526,0.18181818181818182
1149,30.0,129.41666666666526,0.18181818181818182
1150,30.0,128.91666666666526,0.18181818181818182
1151,30.0,128.41666666666526,0.18181818181818182
1152,30.0,127.91666666666526,0.18181818181818182
1153,30.0,127.41666666666526,0.18181818181818182
1154,30.0,126.91666666666526,0.18181818181818182
1155,30.0,126.41666666666526,0.18181818181818182
1156,30.0,125.91666666666526,0.18181818181818182
1157,30.0,125.41666666666526,0.18181818181818182
1158,30.0,124.91666666666526,0.18181818181818182
1159,30.0,124.41666666666526,0.18181818181818182
1160,30.0,123.91666666666526,0.18181818181818182
1161,30.0,123.41666666666526,0.18181818181818182
1162,30.0,122.91666666666526,0.18181818181818182
1163,30.0,122.41666666666526,0.18181818181818182
1164,30.0,121.91666666666526,0.18181818181818182
1165,30.0,121.41666666666526,0.18181818181818182
1166,30.0,120.91666666666526,0.18181818181818182
1167,30.0,120.41666666666526,0.18181818181818182
1168,30.0,119.91666666666526,0.18181818181818182
1169,30.0,119.41666666666526,0.18181818181818182
1170,30.0,118.91666666666526,0.18181818181818182
1171,30.0,118.41666666666526,0.18181818181818182
1172,30.0,117.91666666666526,0.18181818181818182
1173,30.0,117.41666666666526,0.18181818181818182
1174,30.0,116.91666666666526,0.18181818181818182
1175,30.0,116.41666666666526,0.18181818181818182
1176,30.0,115.91666666666526,0.18181818181818182
1177,30.0,115.41666666666526,0.18181818181818182
1178,30.0,114.91666666666526,0.18181818181818182
1179,30.0,114.41666666666526,0.18181818181818182
1180,30.0,113.91666666666526,0.18181818181818182
1181,30.0,113.41666666666526,0.18181818181818182
1182,30.0,112.91666666666526,0.18181818181818182
1183,30.0,112.41666666666526,0.18181818181818182
1184,30.0,111.91666666666526,0.18181818181818182
1185,30.0,111.41666666666526,0.18181818181818182
1186,30.0,110.91666666666526,0.18181818181818182
1187,30.0,110.41666666666526,0.18181818181818182
1188,30.0,109.91666666666526,0.18181818181818182
1189,30.0,109.41666666666526,0.18181818181818182
1190,30.0,108.91666666666526,0.18181818181818182
1191,30.0,108.41666666666526,0.18181818181818182
1192,30.0,107.91666666666526,0.18181818181818182
1193,30.0,107.41666666666526,0.18181818181818182
1194,30.0,106.91666666666526,0.18181818181818182
1195,30.0,106.41666666666526,0.18181818181818182
1196,30.0,105.91666666666526,0.18181818181818182
1197,30.0,105.41666666666526,0.18181818181818182
1198,30.0,104.91666666666526,0.18181818181818182
1199,30.0,104.41666666666526,0.18181818181818182
1200,30.0,103.91666666666526,0.18181818181818182
1201,30.0,103.41666666666526,0.18181818181818182
1202,30.0,102.91666666666526,0.18181818181818182
